Indicator,Country,ADM1_CODE,Province,Date,Data,Year,Month,Dekad,Unit,Source
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-05-11,0.241, 1985,05,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-05-21,0.498, 1985,05,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-06-01,0.568, 1985,06,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-06-11,0.6, 1985,06,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-06-21,0.545, 1985,06,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-07-01,0.494, 1985,07,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-07-11,0.399, 1985,07,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-07-21,0.344, 1985,07,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-08-01,0.33, 1985,08,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-08-11,0.335, 1985,08,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-08-21,0.307, 1985,08,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-09-01,0.365, 1985,09,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-09-11,0.468, 1985,09,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-09-21,0.581, 1985,09,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-10-01,0.508, 1985,10,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-10-11,0.486, 1985,10,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-10-21,0.341, 1985,10,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-11-01,0.175, 1985,11,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-11-11,0.162, 1985,11,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-11-21,0.229, 1985,11,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-12-01,0.299, 1985,12,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-12-11,0.435, 1985,12,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1985-12-21,0.481, 1985,12,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-01-01,0.422, 1986,01,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-01-11,0.287, 1986,01,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-01-21,0.166, 1986,01,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-02-01,0.133, 1986,02,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-02-11,0.165, 1986,02,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-02-21,0.104, 1986,02,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-03-01,0.113, 1986,03,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-03-11,0.122, 1986,03,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-03-21,0.183, 1986,03,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-04-01,0.274, 1986,04,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-04-11,0.436, 1986,04,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-04-21,0.6, 1986,04,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-05-01,0.488, 1986,05,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-05-11,0.407, 1986,05,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-05-21,0.38, 1986,05,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-06-01,0.287, 1986,06,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-06-11,0.258, 1986,06,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-06-21,0.255, 1986,06,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-07-01,0.304, 1986,07,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-07-11,0.228, 1986,07,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-07-21,0.222, 1986,07,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-08-01,0.329, 1986,08,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-08-11,0.244, 1986,08,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-08-21,0.236, 1986,08,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-09-01,0.255, 1986,09,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-09-11,0.34, 1986,09,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-09-21,0.368, 1986,09,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-10-01,0.358, 1986,10,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-10-11,0.306, 1986,10,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-10-21,0.289, 1986,10,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-11-01,0.222, 1986,11,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-11-11,0.182, 1986,11,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-11-21,0.206, 1986,11,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-12-01,0.196, 1986,12,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-12-11,0.171, 1986,12,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1986-12-21,0.239, 1986,12,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-01-01,0.328, 1987,01,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-01-11,0.633, 1987,01,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-01-21,0.591, 1987,01,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-02-01,0.387, 1987,02,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-02-11,0.208, 1987,02,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-02-21,0.112, 1987,02,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-03-01,0.14, 1987,03,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-03-11,0.233, 1987,03,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-03-21,0.241, 1987,03,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-04-01,0.396, 1987,04,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-04-11,0.619, 1987,04,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-04-21,0.551, 1987,04,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-05-01,0.362, 1987,05,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-05-11,0.203, 1987,05,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-05-21,0.211, 1987,05,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-06-01,0.226, 1987,06,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-06-11,0.327, 1987,06,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-06-21,0.419, 1987,06,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-07-01,0.409, 1987,07,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-07-11,0.409, 1987,07,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-07-21,0.307, 1987,07,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-08-01,0.274, 1987,08,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-08-11,0.272, 1987,08,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-08-21,0.267, 1987,08,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-09-01,0.277, 1987,09,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-09-11,0.313, 1987,09,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-09-21,0.293, 1987,09,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-10-01,0.328, 1987,10,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-10-11,0.322, 1987,10,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-10-21,0.41, 1987,10,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-11-01,0.53, 1987,11,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-11-11,0.522, 1987,11,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-11-21,0.372, 1987,11,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-12-01,0.363, 1987,12,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-12-11,0.281, 1987,12,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1987-12-21,0.18, 1987,12,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-01-01,0.116, 1988,01,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-01-11,0.12, 1988,01,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-01-21,0.064, 1988,01,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-02-01,0.082, 1988,02,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-02-11,0.118, 1988,02,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-02-21,0.148, 1988,02,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-03-01,0.276, 1988,03,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-03-11,0.533, 1988,03,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-03-21,0.352, 1988,03,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-04-01,0.302, 1988,04,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-04-11,0.319, 1988,04,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-04-21,0.335, 1988,04,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-05-01,0.311, 1988,05,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-05-11,0.271, 1988,05,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-05-21,0.362, 1988,05,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-06-01,0.37, 1988,06,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-06-11,0.433, 1988,06,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-06-21,0.353, 1988,06,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-07-01,0.302, 1988,07,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-07-11,0.172, 1988,07,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-07-21,0.134, 1988,07,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-08-01,0.151, 1988,08,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-08-11,0.153, 1988,08,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-08-21,0.226, 1988,08,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-09-01,0.26, 1988,09,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-09-11,0.333, 1988,09,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-09-21,0.311, 1988,09,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-10-01,0.277, 1988,10,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-10-11,0.287, 1988,10,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-10-21,0.353, 1988,10,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-11-01,0.499, 1988,11,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-11-11,0.748, 1988,11,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-11-21,0.681, 1988,11,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-12-01,0.732, 1988,12,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-12-11,0.784, 1988,12,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1988-12-21,0.594, 1988,12,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-01-01,0.434, 1989,01,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-01-11,0.498, 1989,01,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-01-21,0.423, 1989,01,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-02-01,0.478, 1989,02,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-02-11,0.451, 1989,02,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-02-21,0.428, 1989,02,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-03-01,0.383, 1989,03,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-03-11,0.307, 1989,03,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-03-21,0.185, 1989,03,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-04-01,0.288, 1989,04,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-04-11,0.528, 1989,04,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-04-21,0.64, 1989,04,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-05-01,0.705, 1989,05,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-05-11,0.657, 1989,05,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-05-21,0.612, 1989,05,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-06-01,0.561, 1989,06,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-06-11,0.544, 1989,06,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-06-21,0.518, 1989,06,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-07-01,0.462, 1989,07,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-07-11,0.415, 1989,07,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-07-21,0.367, 1989,07,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-08-01,0.38, 1989,08,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-08-11,0.423, 1989,08,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-08-21,0.486, 1989,08,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-09-01,0.548, 1989,09,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-09-11,0.653, 1989,09,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-09-21,0.627, 1989,09,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-10-01,0.552, 1989,10,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-10-11,0.581, 1989,10,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-10-21,0.545, 1989,10,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-11-01,0.478, 1989,11,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-11-11,0.437, 1989,11,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-11-21,0.266, 1989,11,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-12-01,0.212, 1989,12,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-12-11,0.207, 1989,12,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1989-12-21,0.143, 1989,12,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-01-01,0.115, 1990,01,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-01-11,0.106, 1990,01,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-01-21,0.109, 1990,01,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-02-01,0.183, 1990,02,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-02-11,0.252, 1990,02,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-02-21,0.289, 1990,02,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-03-01,0.28, 1990,03,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-03-11,0.301, 1990,03,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-03-21,0.454, 1990,03,3, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-04-01,0.71, 1990,04,1, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-04-11,0.645, 1990,04,2, ,FAO-ASIS
Vegetation Condition Index (VCI),Saudi Arabia,2622,Asir,1990-04-21,0.622, 1990,04,3, ,FAO-ASIS
