Indicator,Country,ADM1_CODE,Province,Date,Data,Year,Month,Dekad,Unit,Source
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-10-21,0.293, 1985,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-11-01,0.252, 1985,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-11-11,0.251, 1985,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-11-21,0.286, 1985,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-12-01,0.336, 1985,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-12-11,0.412, 1985,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1985-12-21,0.422, 1985,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-01-01,0.409, 1986,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-01-11,0.345, 1986,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-01-21,0.309, 1986,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-02-01,0.295, 1986,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-02-11,0.287, 1986,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-02-21,0.233, 1986,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-03-01,0.22, 1986,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-03-11,0.211, 1986,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-03-21,0.267, 1986,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-04-01,0.392, 1986,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-04-11,0.482, 1986,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-04-21,0.545, 1986,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-05-01,0.471, 1986,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-05-11,0.385, 1986,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-05-21,0.326, 1986,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-06-01,0.282, 1986,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-06-11,0.281, 1986,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-06-21,0.277, 1986,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-07-01,0.285, 1986,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-07-11,0.248, 1986,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-07-21,0.232, 1986,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-08-01,0.247, 1986,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-08-11,0.238, 1986,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-08-21,0.269, 1986,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-09-01,0.303, 1986,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-09-11,0.322, 1986,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-09-21,0.321, 1986,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-10-01,0.333, 1986,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-10-11,0.314, 1986,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-10-21,0.314, 1986,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-11-01,0.277, 1986,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-11-11,0.258, 1986,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-11-21,0.276, 1986,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-12-01,0.307, 1986,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-12-11,0.311, 1986,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1986-12-21,0.321, 1986,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-01-01,0.417, 1987,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-01-11,0.567, 1987,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-01-21,0.501, 1987,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-02-01,0.396, 1987,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-02-11,0.305, 1987,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-02-21,0.271, 1987,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-03-01,0.308, 1987,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-03-11,0.358, 1987,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-03-21,0.392, 1987,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-04-01,0.448, 1987,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-04-11,0.493, 1987,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-04-21,0.448, 1987,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-05-01,0.433, 1987,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-05-11,0.428, 1987,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-05-21,0.417, 1987,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-06-01,0.381, 1987,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-06-11,0.375, 1987,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-06-21,0.406, 1987,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-07-01,0.395, 1987,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-07-11,0.396, 1987,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-07-21,0.381, 1987,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-08-01,0.4, 1987,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-08-11,0.404, 1987,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-08-21,0.409, 1987,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-09-01,0.4, 1987,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-09-11,0.386, 1987,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-09-21,0.381, 1987,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-10-01,0.378, 1987,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-10-11,0.377, 1987,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-10-21,0.444, 1987,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-11-01,0.502, 1987,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-11-11,0.507, 1987,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-11-21,0.451, 1987,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-12-01,0.472, 1987,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-12-11,0.495, 1987,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1987-12-21,0.5, 1987,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-01-01,0.496, 1988,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-01-11,0.496, 1988,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-01-21,0.46, 1988,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-02-01,0.444, 1988,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-02-11,0.378, 1988,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-02-21,0.324, 1988,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-03-01,0.351, 1988,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-03-11,0.493, 1988,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-03-21,0.456, 1988,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-04-01,0.489, 1988,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-04-11,0.508, 1988,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-04-21,0.52, 1988,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-05-01,0.517, 1988,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-05-11,0.495, 1988,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-05-21,0.491, 1988,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-06-01,0.461, 1988,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-06-11,0.456, 1988,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-06-21,0.417, 1988,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-07-01,0.387, 1988,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-07-11,0.399, 1988,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-07-21,0.402, 1988,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-08-01,0.428, 1988,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-08-11,0.464, 1988,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-08-21,0.517, 1988,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-09-01,0.532, 1988,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-09-11,0.535, 1988,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-09-21,0.523, 1988,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-10-01,0.503, 1988,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-10-11,0.475, 1988,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-10-21,0.458, 1988,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-11-01,0.417, 1988,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-11-11,0.425, 1988,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-11-21,0.352, 1988,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-12-01,0.373, 1988,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-12-11,0.404, 1988,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1988-12-21,0.349, 1988,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-01-01,0.335, 1989,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-01-11,0.384, 1989,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-01-21,0.344, 1989,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-02-01,0.368, 1989,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-02-11,0.317, 1989,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-02-21,0.269, 1989,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-03-01,0.256, 1989,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-03-11,0.253, 1989,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-03-21,0.265, 1989,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-04-01,0.367, 1989,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-04-11,0.453, 1989,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-04-21,0.439, 1989,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-05-01,0.427, 1989,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-05-11,0.37, 1989,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-05-21,0.344, 1989,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-06-01,0.32, 1989,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-06-11,0.308, 1989,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-06-21,0.296, 1989,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-07-01,0.304, 1989,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-07-11,0.299, 1989,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-07-21,0.291, 1989,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-08-01,0.284, 1989,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-08-11,0.284, 1989,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-08-21,0.282, 1989,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-09-01,0.291, 1989,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-09-11,0.332, 1989,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-09-21,0.319, 1989,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-10-01,0.285, 1989,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-10-11,0.305, 1989,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-10-21,0.294, 1989,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-11-01,0.256, 1989,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-11-11,0.246, 1989,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-11-21,0.229, 1989,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-12-01,0.282, 1989,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-12-11,0.317, 1989,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1989-12-21,0.252, 1989,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-01-01,0.273, 1990,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-01-11,0.298, 1990,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-01-21,0.332, 1990,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-02-01,0.358, 1990,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-02-11,0.334, 1990,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-02-21,0.31, 1990,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-03-01,0.291, 1990,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-03-11,0.268, 1990,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-03-21,0.275, 1990,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-04-01,0.38, 1990,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-04-11,0.352, 1990,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-04-21,0.355, 1990,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-05-01,0.424, 1990,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-05-11,0.464, 1990,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Saudi Arabia,2622,Asir,1990-05-21,0.455, 1990,05,3, ,FAO-ASIS
